,No,Sell to Customer No,Ship-to Code,Ship-to County,Posting Date,Customer Posting Group,Salesperson Code,Gen Bus Posting Group,Order Type ID,Is DI Drop Ship,Clean Ship-to County
90,SCM+028020,1WALKE,DEFAULT,MA,2010-04-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
91,SCM+028021,1WALKE,DEFAULT,MA,2010-04-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
92,SCM+028022,1WALKE,DEFAULT,MA,2010-04-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
93,SCM+028023,1WALKE,DEFAULT,MA,2010-04-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
94,SCM+028024,1WALKE,DEFAULT,MA,2010-04-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
95,SCM+028087,1WALKE,DEFAULT,MA,2010-04-26 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
96,SCM+028088,1WALKE,DEFAULT,MA,2010-04-26 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
97,SCM+028089,1WALKE,DEFAULT,MA,2010-04-26 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
98,SCM+028090,1WALKE,DEFAULT,MA,2010-04-26 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
99,SCM+028094,1WALKE,DEFAULT,MA,2010-04-26 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
100,SCM+028095,1WALKE,DEFAULT,MA,2010-04-26 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
101,SCM+028096,1WALKE,DEFAULT,MA,2010-04-26 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
102,SCM+028097,1WALKE,DEFAULT,MA,2010-04-26 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
103,SCM+028098,1WALKE,DEFAULT,MA,2010-04-26 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
104,SCM+028099,1WALKE,DEFAULT,MA,2010-04-26 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
105,SCM+028273,1WALKE,DEFAULT,MA,2010-05-07 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
106,SCM+028438,1WALKE,DEFAULT,MA,2010-05-19 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
107,SCM+028439,1WALKE,DEFAULT,MA,2010-05-19 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
108,SCM+028440,1WALKE,DEFAULT,MA,2010-05-19 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
109,SCM+028441,1WALKE,DEFAULT,MA,2010-05-19 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
110,SCM+028442,1WALKE,DEFAULT,MA,2010-05-19 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
111,SCM+028480,1WALKE,DEFAULT,MA,2010-05-21 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
112,SCM+028481,1WALKE,DEFAULT,MA,2010-05-21 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
113,SCM+028482,1WALKE,DEFAULT,MA,2010-05-21 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
114,SCM+028483,1WALKE,DEFAULT,MA,2010-05-21 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
115,SCM+028484,1WALKE,DEFAULT,MA,2010-05-21 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
116,SCM+028485,1WALKE,DEFAULT,MA,2010-05-21 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
117,SCM+028486,1WALKE,DEFAULT,MA,2010-05-21 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
118,SCM+028487,1WALKE,DEFAULT,MA,2010-05-21 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
119,SCM+028488,1WALKE,DEFAULT,MA,2010-05-21 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
120,SCM+028684,1WALKE,DEFAULT,MA,2010-06-09 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
121,SCM+028685,1WALKE,DEFAULT,MA,2010-06-09 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
122,SCM+028686,1WALKE,DEFAULT,MA,2010-06-09 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
123,SCM+028762,1WALKE,DEFAULT,MA,2010-06-17 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
124,SCM+028763,1WALKE,DEFAULT,MA,2010-06-17 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
125,SCM+028764,1WALKE,DEFAULT,MA,2010-06-17 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
126,SCM+028765,1WALKE,DEFAULT,MA,2010-06-17 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
127,SCM+028880,1WALKE,DEFAULT,MA,2010-07-06 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
128,SCM+028881,1WALKE,DEFAULT,MA,2010-07-06 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
129,SCM+028882,1WALKE,DEFAULT,MA,2010-07-06 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
130,SCM+028883,1WALKE,DEFAULT,MA,2010-07-06 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
131,SCM+028884,1WALKE,DEFAULT,MA,2010-07-06 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
132,SCM+028885,1WALKE,DEFAULT,MA,2010-07-06 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
133,SCM+028886,1WALKE,DEFAULT,MA,2010-07-06 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
134,SCM+028918,1WALKE,DEFAULT,MA,2010-07-07 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
135,SCM+028992,1WALKE,DEFAULT,MA,2010-07-12 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
136,SCM+028993,1WALKE,DEFAULT,MA,2010-07-12 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
137,SCM+028994,1WALKE,DEFAULT,MA,2010-07-12 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
138,SCM+028995,1WALKE,DEFAULT,MA,2010-07-12 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
139,SCM+028996,1WALKE,DEFAULT,MA,2010-07-12 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
140,SCM+029085,1WALKE,DEFAULT,MA,2010-07-22 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
141,SCM+029124,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
142,SCM+029125,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
143,SCM+029126,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
144,SCM+029127,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
145,SCM+029128,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
146,SCM+029130,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
147,SCM+029131,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
148,SCM+029132,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
149,SCM+029133,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
150,SCM+029134,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
151,SCM+029135,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
152,SCM+029136,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
153,SCM+029137,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
154,SCM+029138,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
155,SCM+029139,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
156,SCM+029140,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
157,SCM+029141,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
158,SCM+029142,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
159,SCM+029143,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
160,SCM+029144,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
161,SCM+029145,1WALKE,DEFAULT,MA,2010-07-27 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
162,SCM+029369,1WALKE,DEFAULT,MA,2010-08-19 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
163,SCM+029370,1WALKE,DEFAULT,MA,2010-08-19 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
164,SCM+029372,1WALKE,DEFAULT,MA,2010-08-19 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
165,SCM+029373,1WALKE,DEFAULT,MA,2010-08-19 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
166,SCM+029374,1WALKE,DEFAULT,MA,2010-08-19 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
167,SCM+029377,1WALKE,DEFAULT,MA,2010-08-19 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
168,SCM+029536,1WALKE,DEFAULT,MA,2010-09-07 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
169,SCM+029537,1WALKE,DEFAULT,MA,2010-09-07 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
170,SCM+029538,1WALKE,DEFAULT,MA,2010-09-07 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
171,SCM+029539,1WALKE,DEFAULT,MA,2010-09-07 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
172,SCM+029540,1WALKE,DEFAULT,MA,2010-09-07 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
173,SCM+029541,1WALKE,DEFAULT,MA,2010-09-07 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
174,SCM+029542,1WALKE,DEFAULT,MA,2010-09-07 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
175,SCM+029543,1WALKE,DEFAULT,MA,2010-09-07 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
176,SCM+029544,1WALKE,DEFAULT,MA,2010-09-07 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
177,SCM+029726,1WALKE,DEFAULT,MA,2010-09-20 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
178,SCM+029727,1WALKE,DEFAULT,MA,2010-09-20 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
179,SCM+029728,1WALKE,DEFAULT,MA,2010-09-20 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
180,SCM+029731,1WALKE,DEFAULT,MA,2010-09-20 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
181,SCM+029733,1WALKE,DEFAULT,MA,2010-09-20 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
182,SCM+029734,1WALKE,DEFAULT,MA,2010-09-20 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
183,SCM+029735,1WALKE,DEFAULT,MA,2010-09-20 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
184,SCM+029736,1WALKE,DEFAULT,MA,2010-09-20 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
185,SCM+029737,1WALKE,DEFAULT,MA,2010-09-20 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
186,SCM+029738,1WALKE,DEFAULT,MA,2010-09-20 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
187,SCM+029739,1WALKE,DEFAULT,MA,2010-09-20 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
188,SCM+029740,1WALKE,DEFAULT,MA,2010-09-20 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
189,SCM+029741,1WALKE,DEFAULT,MA,2010-09-20 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
190,SCM+029880,1WALKE,DEFAULT,MA,2010-10-04 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
191,SCM+029884,1WALKE,DEFAULT,MA,2010-10-04 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
192,SCM+029885,1WALKE,DEFAULT,MA,2010-10-04 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
193,SCM+029988,1WALKE,DEFAULT,MA,2010-10-14 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
194,SCM+029998,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
195,SCM+029999,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
196,SCM+030000,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
197,SCM+030002,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
198,SCM+030003,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
199,SCM+030004,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
200,SCM+030005,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
201,SCM+030006,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
202,SCM+030007,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
203,SCM+030008,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
204,SCM+030009,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
205,SCM+030010,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
206,SCM+030011,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
207,SCM+030012,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
208,SCM+030013,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
209,SCM+030014,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
210,SCM+030015,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
211,SCM+030016,1WALKE,DEFAULT,MA,2010-10-15 00:00:00.000,1NATIONAL,MPE,NATWHO,0,No,MA
